SMILES,Cls
C1CCCN(CC1)CC(=O)NC2=C(C=CS2)C#N,0
C1=CC=C(C(=C1)CSC2=NC(=CC(=O)N2)O)C#N,0
CC1=CC(=C(C=C1)C)/C(=C\2/C(N(C(=O)C2=O)CC3=CN=CC=C3)C4=CN=CC=C4)/O,0
C1=CC(=CC=C1OC(=O)C2=CC3=NC=CN=C3C=C2)Cl,0
CCOC1=C(C=C(C=C1)C2CC(=O)N3C(=NC(=N3)C45CC6CC(C4)CC(C6)C5)S2)OC,0
CC1=NN=C(O1)NC2=NCCC2,0
CC1CCN(CC1)CCNC(=O)C2=C(C(=C(N2)C)C(=O)C)C,0
C1CCC2=NC3=CC=CC=C3C(=C2C1)NCCO,0
CC(=O)OCC1C(C(C(C(O1)N2C=CC3=CC=CC=C32)OC(=O)C)OC(=O)C)OC(=O)C,0
CC1=CC=CC=C1C(=O)NC(CC=C)(CC=C)C2=CC=CC=C2,0
CCCCCC1=NC(=NO1)C2=NON=C2N,0
CC1=CC=C(C=C1)N(CN2C(=O)C(NC2=O)(C)C)CN3C(=O)C(NC3=O)(C)C,0
C1CCCN(CC1)CCC(=O)NC2=CC(=C(C=C2)F)F,0
CC1CCCN(C1)C(=O)C2=CC3=C(C=C2)N=CN3,0
COC(=O)C1=CC=C(C=C1)NC(=O)CN2CCCC2,0
C1CSC(=N1)NC(=O)C2CC(=O)N(C2)C3=CC=C(C=C3)F,0
CCN(CC)CCSC1=NC(=C(C(=O)N1)C(C)C)O.Cl,0
CCOC(=O)CN1C(=O)C2=C(N=C3N2CCS3)N(C1=O)C,0
CCCCNC(=S)NNC(=O)C1=NN(C=C1Cl)C,0
CCOC(=O)C1CN(C1)S(=O)(=O)C2=CC=C(C=C2)C,0
CC1=CC(=NC2=C1C3=C(S2)C(=O)NC(=N3)SCC4=CC=CC=C4)C,0
CC1=CC(=CC=C1)C(=O)NC(C(Cl)(Cl)Cl)NCCC2=CC=CC=C2,0
CCOC(=O)C1=C(NC(=C1C)C(=O)OCC(=O)N2CC(OC(C2)C)C)C,0
C1CC(OC1)CN(C(C2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)F)C(=O)CN4C5=CC=CC=C5N=N4,0
CCOC(=O)C1=CC=C(C=C1)NS(=O)(=O)CC,0
C1=CC(=CC(=C1)Br)CSCC(=O)N,0
C1=COC(=C1)C(=O)NC2=CC3=C(C=C2)OC(=O)C=C3,0
CCC1=CC=C(C=C1)NC(=O)C2CC(=O)N(C2)C(C)C,0
C1CCC(CC1)C2=NN=C(N2N)SCC(=O)NC3=CC(=C(C=C3)F)F,0
CC(C)OC(=O)CSC1=NC2=C(N1)C=CC=N2,0
CCOC(=O)C1(/C(=N/NC2=CC=C(C=C2)Cl)/C(=O)C(=O)N1C3=CC=CC=C3)C,0
