SMILES,Cls
CC(C)(C)OC(=O)NNS(=O)(=O)C1=CC=CC(=C1)[N+](=O)[O-],0
C1=CC=C2C=C(C=CC2=C1)C3=N/C(=C\C4=CC=C(C=C4)Cl)/C(=O)O3,0
C1CCC(=O)C(C1)C2CC(=O)N(C2=O)C3=CC=CC=C3,0
CC1=NOC2=C1C(=O)N(N=C2CC3=CC=C(C=C3)[N+](=O)[O-])CC4=NN=C(S4)NC5=CC=CC=C5,0
CC(=NCC1=CC(=C(C=C1)Cl)Cl)C2=C(NN(C2=O)C3=NC4=CC=CC=C4S3)C(F)(F)F,0
C1COC2=C(O1)C=CC(=C2)C3=NN4C(=NN=C4S3)CSC5=CC=CC=C5,0
CN1C/C(=C\C2=CC=C(C=C2)N3CCCC3)/C(=O)/C(=C/C4=CC=C(C=C4)N5CCCC5)/C1,0
COC1=CC(=CC(=C1O)/C=C/2\C(=O)N(C(=O)S2)CC3=CC=C(C=C3)F)Cl,0
CC1=NOC2=C1C(=O)N(N=C2CC3=CC=C(C=C3)[N+](=O)[O-])CC4=NN=C(S4)NC,0
C1=CC=C2C(=C1)C(C3=CC=CC=C3O2)NC(=O)C4=CC(=C(C=C4)Cl)[N+](=O)[O-],0
CC1=C(C(=NN1CC2=CC=C(C=C2)F)C)NC(=O)C3CC(=NO3)C4=CC(=CC=C4)Br,0
CN(C)CC#CC1=CC(=C(C=C1)NC2CCC(CC2)O)C(=O)N,0
CC(=O)CC1CC(=O)N(C1=O)C2=CC=CC=C2,0
C[C@H]1C(=O)N2CCC[C@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CSCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC(C)C)CCCN=C(N)N)CC(C)C)CC3=CC=C(C=C3)O)C(=O)N)CCC(=O)N)CC(=O)N)[C@@H](C)O,0
CC(=O)C(C)(C)C1CC(=O)N(C1=O)C2=CC=CC=C2,0
C1=CC=C2C(=C1)N=C(S2)/C(=C(/C3=CC(=C(C=C3)Cl)[N+](=O)[O-])\O)/C#N,0
CC1=CN=C(C=C1)C2=CC(=C(C=C2C3=CC=C(C=C3)S(=O)(=O)C)F)F,0
C1CN(CC1)C2=CC=C(C=C2)/C=C\3/C(=O)/C(=C/C4=CC=C(C=C4)N5CCCC5)/CN(C3)CC6=CC=CC=C6,0
CC(C)(C)C1=CC2=C(C=C1)C(=O)N(C2=O)CC3=CC=C(C=C3)S(=O)(=O)N,0
CC1=CC2=C(C=C1)C(=O)N(C2=O)CC3=CC=C(C=C3)S(=O)(=O)N,0
CC1=CC2=C(C=C1)C(=O)N(C2=O)C3=CC=C(C=C3)S(=O)(=O)N,0
C1=CC=C(C=C1)COC(=O)C2=CC=CC(=C2)C(=O)O,0
C1=CC=C2C(=C1)C=CC=C2OC(=O)C3=CC=CC(=C3)C(=O)O,0
C1=CC=C2C(=C1)C=CC=C2NC(=O)C3=CC(=CC=C3)C(=O)O,0
C1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)C(=O)O,0
C[C@@H]1[C@@H](C(=O)N1)NC(=O)OCCCCC2CCCCC2,0
CC1=NOC2=C1C(=O)N(N=C2CC3=CC=C(C=C3)[N+](=O)[O-])CC4=NNC(=S)N4C,0
CCNC1=NN=C(S1)CN2C(=O)C3=C(C(=N2)CC4=CC=C(C=C4)[N+](=O)[O-])ON=C3C,0
COC(=O)C1=CC=C(C=C1)NC(=S)NC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=CC=C4,0
CC1=C(C=CC(=C1)Cl)NC(=O)CN2C(=O)C3=C(N=N2)SC4=C3CCCC4,0
CC1=C(N(N=N1)C2CCNCC2)C3=NC(=CC=C3)OC4=CC(=CC(=C4)CO)CO,0
C1CN(CC1)C2=CC=C(C=C2)/C=C\3/C(=O)/C(=C/C4=CC=C(C=C4)N5CCCC5)/COC3,0
C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)Cl)C(=O)N/N=C/C4=CC=C(C=C4)C#N,0
CC(C)(C)N(C(=O)C1=CC=CC=C1)NC(=O)NC2=CC(=C(C=C2)Cl)Cl,0
C1=CC=C(C=C1)CC2=NN=C3N2N=C(S3)C4=CC(=C(C=C4)Cl)Cl,0
C1CCC(=O)C(C1)C2CC(=O)N(C2=O)CC3=CC=CC=C3,0
CC1=CC(=C(C(=C1)C)S(=O)(=O)N2CCC(CC2)C(=O)NCCC(C3=CC=CC=C3)C4=CC=CC=C4)C,0
C1CCN(C1)C(=O)CCCCCCC2=CC=C(C=C2)Cl,0
C1=CC=C2C(=C1)N=C3N2C(=O)/C(=C/C4=CC(=C(C(=C4)I)O)[N+](=O)[O-])/S3,0
C1CN(CC1)C2=CC=C(C=C2)/C=C\3/C(=O)/C(=C/C4=CC=C(C=C4)N5CCCC5)/CCC3,0
C1[C@@H](C(=O)N1)NC(=O)OCCCCC2=CC=CC=N2,0
